讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-02(Thursday)16:40-18:00,Tianxiao Zheng,"                                            Assistant Professor at Shanghai Advanced Institute of Finance, Shanghai Jiao Tong University. She earned her PhD of Economics from University of Colorado-Boulder, her research interests include macroeconomics and international finance.&nbsp;Please see Prof. Zheng's CV for more information.",Financial Reforms and Consumption Smoothing,"N302, Econ Building","                                                                We study how financial reforms or financial liberalization affect the extent of consumption smooth-ing in a dynamic stochastic general equilibrium model. The empirical literature highlights that financial reforms and development improve consumption smoothing in industrialized economies, but not in emerging economies. Our model emphasizes consumer credit and home production. In accord with the empirical literature, our model predicts that equity market reforms ameliorate consumption smoothing. Our model also predicts that reforms that relax interest and credit controls may deteriorate consumption smoothing in emerging economies where a large share of the population is credit constrained and where home production is particularly important."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-01(Wednesday)12:30-13:30,Stephanie Chan,"                                            Assistant Professor at Department of Finance, School of Economics &amp; Wang Yanan Institute for Studies in Economics, Xiamen University.","Regulatory Forbearance, CoCos, and Bank Risk-Shifting","N302, Econ Building",                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-01(Wednesday)12:30-13:30,Sining Wang,"                                            Post- Doctoral Research Fellow, Department of Economics, University of WaterlooPlease kindly see Dr. Wang's CV for more information.",A Cognitive Dissonance Interpretation of the Context Effect in Social P...,"D135, Econ Building","                                                                This paper proposes and experimentally tests the hypothesis that cognitive dissonance associated with the context plays a key role in determining people&rsquo;s behavior in social preference experiments. We conduct a laboratory bribery game experiment where the cognitive dissonance levels are controlled using different treatments (familiar-context treatment, unfamiliar-context treatment, and context-free treatment). With the aid of an independent attitude survey, we find that (i) in the unfamiliar-context treatment and the context-free treatment people experience the same cognitive dissonance level and we do not observe different behavior in the lab; (ii) in the familiar-context treatment people experience the most intensive cognitive dissonance level among all treatments and subjects are much less likely to behave unethically. Our results unify the mixed findings from past social preference experiments. Conceivably, our approach that identifies the underlying mechanism through which the experimental context matters can be extended to investigate the context effect in general.&nbsp;&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-10-27(Friday)12:30-14:00,Li Chen,"                                            Assistant Professor at Wang Yanan Institute for Studies in Economics (WISE) and Department of Statistics, School of Economics, Xiamen University",Endogeneity in Trending Time Series Models,"N302, Econ Building",                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-10-24(Tuesday)16:40-18:00,Jianping Mei,"                                            Professor of Finance at CKGSB and director of the CKGSB Real Estate Research Institute. His major areas of research include international asset pricing and real asset finance. Mei earned a PhD in Economics from Princeton University.&nbsp;He has taught at the University of Chicago, Princeton University, New York University, Tsinghua University, University of Amsterdam, Bocconi University and Hong Kong University of Science and Technology.&nbsp;He has published over 30 articles in the American Economic Review, Journal of Finance, Review of Financial Studies, Journal of Financial Economics, Real Estate Economics, Journal of Real Estate Finance and Economics, and other academic journals.&nbsp;Please find more via Prof. Mei's CV.",Residual Variance and Asset Pricing in the Art Market,"N302, Econ Building","                                                                In this paper, we compute residual variance of art prices to examine asset pricing in contemporary art market. Our empirical work shows a few interesting results. First, we discover that the residual variance is significantly and positively related to the average price level achieved by an artist. Second, the residual variance has additional explanatory power in terms of how often the artist&rsquo;s works are cited and exhibited, even after we control for artist fixed (reputation) effects. Third, collectors tend to value more those artworks with higher residual variance. Artworks by those artists with high residual variance tend to outperform the market within and out of sample. One possible explanation of our results is that residual variance could be a proxy for creative risk taking by contemporary artists. The most creative artists dare to take more risks, which results in higher residual price volatility of their artworks."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-10-21(Saturday)16:40-18:10,大西広,                                            日本庆应义塾大学经济学部教授、京都大学名誉教授.,CONDITIONS WHERE THE RULED CLASS UNITES FOR THE REVOLUTION- applicabili...,经济楼N303,"                                                                div style=""margin: 0pt""span style=""font-size: 10.5pt; color: rgb(0,0,0)""没有大批积极分子就不能成功地实现革命，因此，获得足够的参与者的困难和条件也应该是马克思主义社会科学的一个重要课题。特别是这个问题包括&ldquo;搭便车&rdquo;问题，因为革命者的活动所得到的好处不仅限于积极分子，而且也包括所有成员。本文运用博弈论对社会困境问题进行了分析，得出了一些有趣的结果。例如，革命的主观条件不同于客观条件，条件取决于现状的成本、效益和善。此外，本文还分析了群体规模的影响，揭示了大量群体如统治阶级的群体具有特殊的团结困难。它被称为&ldquo;大集团困境&rdquo;。/span"
